step,position
902, 0.000038
903, 0.000037
904, 0.000036
905, 0.000035
906, 0.000034
907, 0.000033
908, 0.000032
909, 0.000031
910, 0.000031
911, 0.000030
912, 0.000029
913, 0.000028
914, 0.000028
915, 0.000027
916, 0.000026
917, 0.000026
918, 0.000025
919, 0.000024
920, 0.000024
921, 0.000023
922, 0.000023
923, 0.000022
924, 0.000022
925, 0.000021
926, 0.000020
927, 0.000020
928, 0.000019
929, 0.000019
930, 0.000018
931, 0.000018
932, 0.000018
933, 0.000017
934, 0.000017
935, 0.000016
936, 0.000016
937, 0.000015
938, 0.000015
939, 0.000015
940, 0.000014
941, 0.000014
942, 0.000014
943, 0.000013
944, 0.000013
945, 0.000013
946, 0.000012
947, 0.000012
948, 0.000012
949, 0.000011
950, 0.000011
951, 0.000011
952, 0.000011
953, 0.000010
954, 0.000010
955, 0.000010
956, 0.000010
957, 0.000009
958, 0.000009
959, 0.000009
960, 0.000009
961, 0.000008
962, 0.000008
963, 0.000008
964, 0.000008
965, 0.000008
966, 0.000007
967, 0.000007
968, 0.000007
969, 0.000007
970, 0.000007
971, 0.000007
972, 0.000006
973, 0.000006
974, 0.000006
975, 0.000006
976, 0.000006
977, 0.000006
978, 0.000005
979, 0.000005
980, 0.000005
981, 0.000005
982, 0.000005
983, 0.000005
984, 0.000005
985, 0.000005
986, 0.000004
987, 0.000004
988, 0.000004
989, 0.000004
990, 0.000004
991, 0.000004
992, 0.000004
993, 0.000004
994, 0.000004
995, 0.000004
996, 0.000003
997, 0.000003
998, 0.000003
999, 0.000003
1000, 0.000163
1001, 0.000478
1002, 0.000951
1003, 0.001580
1004, 0.002365
1005, 0.003307
1006, 0.004406
1007, 0.005661
1008, 0.007073
1009, 0.008642
1010, 0.010368
1011, 0.011931
1012, 0.013339
1013, 0.014590
1014, 0.015685
1015, 0.016624
1016, 0.017407
1017, 0.018033
1018, 0.018502
1019, 0.018815
1020, 0.018971
1021, 0.018970
1022, 0.018813
1023, 0.018499
1024, 0.018040
1025, 0.017589
1026, 0.017149
1027, 0.016720
1028, 0.016302
1029, 0.015894
1030, 0.015496
1031, 0.015109
1032, 0.014731
1033, 0.014362
1034, 0.014003
1035, 0.013653
1036, 0.013311
1037, 0.012978
1038, 0.012653
1039, 0.012337
1040, 0.012028
1041, 0.011727
1042, 0.011434
1043, 0.011148
1044, 0.010869
1045, 0.010597
1046, 0.010332
1047, 0.010073
1048, 0.009821
1049, 0.009576
1050, 0.009336
1051, 0.009103
1052, 0.008875
1053, 0.008653
1054, 0.008436
1055, 0.008225
1056, 0.008020
1057, 0.007819
1058, 0.007623
1059, 0.007433
1060, 0.007247
1061, 0.007065
1062, 0.006889
1063, 0.006716
1064, 0.006548
1065, 0.006385
1066, 0.006225
1067, 0.006069
1068, 0.005917
1069, 0.005769
1070, 0.005625
1071, 0.005484
1072, 0.005347
1073, 0.005213
1074, 0.005083
1075, 0.004956
1076, 0.004832
1077, 0.004711
1078, 0.004593
1079, 0.004478
1080, 0.004366
1081, 0.004257
1082, 0.004150
1083, 0.004047
1084, 0.003945
1085, 0.003847
1086, 0.003750
1087, 0.003657
1088, 0.003565
1089, 0.003476
1090, 0.003389
1091, 0.003304
1092, 0.003222
1093, 0.003141
1094, 0.003062
1095, 0.002986
1096, 0.002911
1097, 0.002838
1098, 0.002767
1099, 0.002698
1100, 0.002630
1101, 0.002565
1102, 0.002501
1103, 0.002438
1104, 0.002377
1105, 0.002318
1106, 0.002260
1107, 0.002203
1108, 0.002148
1109, 0.002094
1110, 0.002042
1111, 0.001991
1112, 0.001941
1113, 0.001892
1114, 0.001845
1115, 0.001799
1116, 0.001754
1117, 0.001710
1118, 0.001667
1119, 0.001626
1120, 0.001585
1121, 0.001545
1122, 0.001507
1123, 0.001469
1124, 0.001432
1125, 0.001396
1126, 0.001361
1127, 0.001327
1128, 0.001294
1129, 0.001262
1130, 0.001230
1131, 0.001199
1132, 0.001169
1133, 0.001140
1134, 0.001112
1135, 0.001084
1136, 0.001057
1137, 0.001030
1138, 0.001004
1139, 0.000979
1140, 0.000955
1141, 0.000931
1142, 0.000908
1143, 0.000885
1144, 0.000863
1145, 0.000841
1146, 0.000820
1147, 0.000800
1148, 0.000780
1149, 0.000760
1150, 0.000741
1151, 0.000723
1152, 0.000705
1153, 0.000687
1154, 0.000670
1155, 0.000653
1156, 0.000637
1157, 0.000621
1158, 0.000605
1159, 0.000590
1160, 0.000575
1161, 0.000561
1162, 0.000547
1163, 0.000533
1164, 0.000520
1165, 0.000507
1166, 0.000494
1167, 0.000482
1168, 0.000470
1169, 0.000458
1170, 0.000447
1171, 0.000435
1172, 0.000424
1173, 0.000414
1174, 0.000403
1175, 0.000393
1176, 0.000384
1177, 0.000374
1178, 0.000365
1179, 0.000355
1180, 0.000347
1181, 0.000338
1182, 0.000329
1183, 0.000321
1184, 0.000313
1185, 0.000305
1186, 0.000298
1187, 0.000290
1188, 0.000283
1189, 0.000276
1190, 0.000269
1191, 0.000262
1192, 0.000256
1193, 0.000249
1194, 0.000243
1195, 0.000237
1196, 0.000231
1197, 0.000225
1198, 0.000220
1199, 0.000214
1200, 0.000368
1201, 0.000679
1202, 0.001145
1203, 0.001769
1204, 0.002549
1205, 0.003485
1206, -0.000790
1207, -0.004908
1208, -0.008870
1209, -0.012675
1210, -0.016323
1211, -0.019814
1212, -0.023148
1213, -0.026326
1214, -0.029347
1215, -0.032211
1216, -0.034918
1217, -0.037468
1218, -0.039862
1219, -0.042098
1220, -0.044178
1221, -0.046101
1222, -0.047867
1223, -0.049476
1224, -0.050928
1225, -0.052224
1226, -0.053362
1227, -0.054344
1228, -0.055169
1229, -0.055837
1230, -0.056348
1231, -0.056702
1232, -0.056899
1233, -0.056940
1234, -0.056823
1235, -0.056550
1236, -0.056120
1237, -0.055533
1238, -0.054789
1239, -0.053889
1240, -0.052831
1241, -0.051617
1242, -0.050328
1243, -0.053975
1244, -0.057464
1245, -0.060797
1246, -0.063973
1247, -0.066992
1248, -0.069855
1249, -0.072560
1250, -0.075109
1251, -0.077500
1252, -0.079735
1253, -0.081813
1254, -0.083734
1255, -0.085499
1256, -0.087106
1257, -0.088557
1258, -0.089850
1259, -0.090987
1260, -0.091967
1261, -0.092791
1262, -0.093457
1263, -0.093966
1264, -0.094319
1265, -0.094515
1266, -0.094553
1267, -0.094435
1268, -0.094160
1269, -0.093729
1270, -0.093140
1271, -0.092395
1272, -0.091492
1273, -0.090433
1274, -0.089217
1275, -0.087844
1276, -0.086314
1277, -0.089281
1278, -0.092090
1279, -0.094742
1280, -0.097238
1281, -0.099577
1282, -0.101759
1283, -0.103784
1284, -0.105652
1285, -0.107363
1286, -0.108918
1287, -0.110315
1288, -0.111556
1289, -0.112640
1290, -0.113567
1291, -0.114337
1292, -0.114950
1293, -0.115407
1294, -0.115706
1295, -0.115849
1296, -0.115835
1297, -0.115664
1298, -0.115336
1299, -0.114851
1300, -0.114209
1301, -0.113411
1302, -0.112456
1303, -0.111343
1304, -0.110074
1305, -0.108648
1306, -0.107066
1307, -0.105326
1308, -0.107663
1309, -0.109844
1310, -0.111868
1311, -0.113734
1312, -0.115444
1313, -0.116998
1314, -0.118394
1315, -0.119633
1316, -0.120716
1317, -0.121641
1318, -0.122410
1319, -0.123022
1320, -0.123477
1321, -0.123776
1322, -0.123917
1323, -0.123901
1324, -0.123729
1325, -0.123400
1326, -0.122914
1327, -0.122271
1328, -0.121471
1329, -0.120514
1330, -0.119401
1331, -0.118130
1332, -0.116703
1333, -0.115119
1334, -0.113378
1335, -0.111480
1336, -0.109425
1337, -0.111286
1338, -0.112991
1339, -0.114538
1340, -0.115928
1341, -0.117162
1342, -0.118239
1343, -0.119158
1344, -0.119921
1345, -0.120528
1346, -0.120977
1347, -0.121269
1348, -0.121405
1349, -0.121383
1350, -0.121205
1351, -0.120870
1352, -0.120378
1353, -0.119730
1354, -0.118924
1355, -0.117961
1356, -0.116842
1357, -0.115566
1358, -0.114133
1359, -0.112543
1360, -0.110796
1361, -0.108892
1362, -0.106832
1363, -0.104614
1364, -0.102240
1365, -0.103656
1366, -0.104914
1367, -0.106016
1368, -0.106961
1369, -0.107749
1370, -0.108380
1371, -0.108854
1372, -0.109172
1373, -0.109333
1374, -0.109336
1375, -0.109183
1376, -0.108873
1377, -0.108406
1378, -0.107783
1379, -0.107002
1380, -0.106065
1381, -0.104970
1382, -0.103719
1383, -0.102311
1384, -0.100746
1385, -0.099025
1386, -0.097146
1387, -0.095110
1388, -0.092918
1389, -0.090598
1390, -0.088332
1391, -0.086122
1392, -0.086796
1393, -0.087313
1394, -0.087673
1395, -0.087876
1396, -0.087923
1397, -0.087813
1398, -0.087546
1399, -0.087122
1400, -0.086542
1401, -0.085804
1402, -0.084910
1403, -0.083859
1404, -0.082652
1405, -0.081287
1406, -0.079766
1407, -0.078087
1408, -0.076252
1409, -0.074260
1410, -0.072111
1411, -0.070124
1412, -0.070149
1413, -0.070016
1414, -0.069726
1415, -0.069280
1416, -0.068677
1417, -0.067918
1418, -0.067001
1419, -0.065928
1420, -0.064698
1421, -0.063311
1422, -0.061767
1423, -0.060223
1424, -0.058717
1425, -0.057248
1426, -0.055816
1427, -0.054419
1428, -0.053058
1429, -0.051731
1430, -0.051031
1431, -0.050174
1432, -0.049162
1433, -0.047992
1434, -0.046793
1435, -0.045623
1436, -0.044481
1437, -0.043565
1438, -0.042493
1439, -0.041456
1440, -0.040420
1441, -0.039409
1442, -0.038423
1443, -0.037462
1444, -0.036525
1445, -0.035611
1446, -0.034720
1447, -0.033851
1448, -0.033005
1449, -0.032179
1450, -0.031374
1451, -0.030589
1452, -0.029824
1453, -0.029078
1454, -0.028350
1455, -0.027641
1456, -0.026950
1457, -0.026275
1458, -0.025618
1459, -0.024977
1460, -0.024352
1461, -0.023743
1462, -0.023149
1463, -0.022570
1464, -0.022006
1465, -0.021455
1466, -0.020918
1467, -0.020395
1468, -0.019885
1469, -0.019387
1470, -0.018902
1471, -0.018429
1472, -0.017968
1473, -0.017519
1474, -0.017081
1475, -0.016653
1476, -0.016237
1477, -0.015831
1478, -0.015435
1479, -0.015048
1480, -0.014672
1481, -0.014305
1482, -0.013947
1483, -0.013598
1484, -0.013258
1485, -0.012926
1486, -0.012603
1487, -0.012288
1488, -0.011980
1489, -0.011681
1490, -0.011388
1491, -0.011103
1492, -0.010826
1493, -0.010555
1494, -0.010291
1495, -0.010033
1496, -0.009782
1497, -0.009538
1498, -0.009299
1499, -0.009066
1500, -0.008840
1501, -0.008619
1502, -0.008403
1503, -0.008193
1504, -0.007988
1505, -0.007788
1506, -0.007593
1507, -0.007403
1508, -0.007218
1509, -0.007037
1510, -0.006861
1511, -0.006690
1512, -0.006522
1513, -0.006359
1514, -0.006200
1515, -0.006045
1516, -0.005894
1517, -0.005746
1518, -0.005603
1519, -0.005462
1520, -0.005326
1521, -0.005193
1522, -0.005063
1523, -0.004936
1524, -0.004813
1525, -0.004692
1526, -0.004575
1527, -0.004460
1528, -0.004349
1529, -0.004240
1530, -0.004134
1531, -0.004030
1532, -0.003930
1533, -0.003831
1534, -0.003735
1535, -0.003642
1536, -0.003551
1537, -0.003462
1538, -0.003375
1539, -0.003291
1540, -0.003209
1541, -0.003128
1542, -0.003050
1543, -0.002974
1544, -0.002899
1545, -0.002827
1546, -0.002756
1547, -0.002687
1548, -0.002620
1549, -0.002554
1550, -0.002491
1551, -0.002428
1552, -0.002368
1553, -0.002308
1554, -0.002251
1555, -0.002194
1556, -0.002139
1557, -0.002086
1558, -0.002034
1559, -0.001983
1560, -0.001933
1561, -0.001885
1562, -0.001838
1563, -0.001792
1564, -0.001747
1565, -0.001703
1566, -0.001661
1567, -0.001619
1568, -0.001579
1569, -0.001539
1570, -0.002267
1571, -0.002838
1572, -0.003253
1573, -0.003512
1574, -0.003614
1575, -0.003559
1576, -0.004143
1577, -0.004569
1578, -0.004839
1579, -0.004952
1580, -0.004908
1581, -0.004788
1582, -0.005298
1583, -0.005652
1584, -0.005849
1585, -0.005889
1586, -0.005773
1587, -0.006145
1588, -0.006361
1589, -0.006420
1590, -0.006322
1591, -0.006165
1592, -0.006472
1593, -0.006621
1594, -0.006614
1595, -0.006452
1596, -0.006656
1597, -0.006703
1598, -0.006593
1599, -0.006668
1600, -0.006587
1601, -0.006582
1602, -0.006421
1603, -0.006438
1604, -0.006299
1605, -0.006242
1606, -0.006029
1607, -0.005988
1608, -0.005846
1609, -0.005687
1610, -0.005515
1611, -0.005376
1612, -0.005242
1613, -0.005111
1614, -0.004983
1615, -0.004858
1616, -0.004740
1617, -0.004622
1618, -0.004508
1619, -0.004395
1620, -0.004288
1621, -0.004182
1622, -0.004078
1623, -0.003977
1624, -0.003879
1625, -0.003783
1626, -0.003690
1627, -0.003599
1628, -0.003510
1629, -0.003424
1630, -0.003340
1631, -0.003258
1632, -0.003177
1633, -0.003099
1634, -0.003023
1635, -0.002949
1636, -0.002877
1637, -0.002806
1638, -0.002737
1639, -0.002670
1640, -0.002605
1641, -0.002541
1642, -0.002479
1643, -0.002418
1644, -0.002359
1645, -0.002302
1646, -0.002246
1647, -0.002191
1648, -0.002138
1649, -0.002086
1650, -0.002035
1651, -0.001985
1652, -0.001937
1653, -0.001890
1654, -0.001845
1655, -0.001800
1656, -0.001756
1657, -0.001714
1658, -0.001673
1659, -0.001632
1660, -0.001593
1661, -0.001555
1662, -0.001517
1663, -0.001481
